Compiling model...
'compile' took 1.140150 s

Training model...

Step      Train loss                        Test loss                         Test metric
20009     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20010     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20011     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20012     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20013     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20014     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20015     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20016     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20017     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20018     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20019     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20020     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20021     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20022     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20023     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20024     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20025     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20026     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20027     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20028     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20029     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20030     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20031     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20032     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20033     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20034     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20035     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20036     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20037     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20038     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20039     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20040     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20041     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20042     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20043     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
